序号,单词,音标,基本释义,详细释义,英文释义,例句,例句释义
71,other,[??e?(r)],其他,adj.其他的，另外的,used to refer to people or things that are additional or different to people or things that have been mentioned or are known about,"No, I don't want to buy apples. I want some other fruit.",不，我不买苹果。我想买点儿其他的水果。
72,how,[ha?],如何,如何,,,
73,then,[een],然后,adv.然后；那么（通常用于句首或句尾）,"used to introduce the next item in a series of actions, events, instructions, etc.","Type in your password, then take out your money.",输入你的密码，然后取走你的钱。
74,its,[?ts],它是,它是,,,
75,our,[ɑ:(r)],我们的,我们的,,,
76,two,[tu:],二,二,,,
77,more,[m?:(r)],更多的,det.更多的；  adv.（程度上）更强,to a greater degree than something else; to a greater degree than usual,There are more and more coins in the jar.,罐子里的硬币越来越多了。
78,these,[ei:z],这些,这些,,,
79,want,[w?nt],想,v.需要；  n.短缺，需要的东西,to have a desire or a wish for something,This company wants a 20-year-old with 10 years of work experience.,这家公司想招一个年龄20岁却有10年工作经验的人。
80,way,[we?],方式,n.道路；  adv.远远地,"a road, path or street for travelling along",There's a way across the field.,这儿有一条路穿过田地。
81,look,[l?k],看,v.看；  n.样子,to turn your eyes in a particular direction; to try to find somebody/something; to pay attention to something,I look at myself in the mirror before work.,上班前我照了照镜子。
82,first,[f?:st],第一的,det. 第一；  adv. 最初,happening or coming before all other similar things or people; 1st,Crossing the finish line in first place is an amazing feeling.,第一个越过终点线是一种很棒的感觉。
83,also,[??:ls??],还,adv.也，同样,(not used with negative verbs) in addition; too,She is also drinking his juice.,她也在喝他的果汁。
84,new,[nju:],新的,adj.新的；新发现的,recently bought; different from the previous one,The man loves his new motorbike!,这个男人超爱他的新摩托车！
85,because,[b??k?z],因为,conj. 因为,for the reason that,The tooth is in pain because his master ate lots of sugar.,这颗牙齿很痛苦，因为他的主人吃了太多甜食。
86,day,[de?],天,n.（一）天；白昼，白天,a period of 24 hours,A day has 24 hours.,一天有24小时。
87,use,[ju:s],使用,vt.使用，利用；  n.使用，运用,"to do something with a machine, a method, an object, etc. for a particular purpose",I use a pencil to draw a picture.,我用一支铅笔来画画。
88,no,[n??],不,不,,,
89,man,[m?n],男人,n.成年男子，男人,an adult male human,The man smiles happily.,这个男人笑得很开心。
90,find,[fa?nd],寻找,v.找到；发现；  n.发现物，被发现的人,"to discover something/somebody by searching, studying or thinking carefully",You might find the criminals if you follow the footprints.,如果你跟着这些脚印，也许能找到罪犯！
91,here,[h??(r)],这里,这里,,,
92,thing,[θ??],事物,n. 东西，事物；事件，事态,"objects, clothing or tools that belong to somebody or are used for a particular purpose",These are different things that people need in daily life.,这些都是日常生活中人们需要的东西。
93,give,[g?v],给,v.给,"to hand something to somebody so that they can look at it, use it or keep it for a time",The child is giving the old man a piece of bread.,小孩给了那个老人一块面包。
94,many,[?meni],许多,det.许多的；  n.多数人；  adj.相对多的,consisting of or amounting to a large but indefinite number,I've wrapped so many gifts for Christmas.,我把这么多圣诞节礼物都包好了。
95,well,[wel],出色地,adj.健康的,in a good state or position; in good health,Both my parents are very well.,我的父母都很健康。
96,only,[???nli],仅有的,仅有的,,,
97,those,[e??z],那些,那些,,,
98,tell,[tel],告诉,v.识别,to give information to somebody by speaking or writing,She can tell that the bread is not edible anymore.,她能识别出这个面包已经不能食用了。
99,very,[?veri],非常,adv.很，非常；  adj.恰好的,,They are very excited.,他们非常激动。
100,even,[?i:vn],甚至,adj.实力相当的；  adv.甚至；  v.使打平，使相等,"(of an amount of something) equal or the same for each person, team, place, etc.",It was an even match so neither side could defeat the other.,这是一场势均力敌的比赛，谁也没法打败对方。
101,back,[b?k],后退,n.背部；  adv.回原处,"the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this",His back hurt so much that he couldn't stand up straight.,他的背疼得他站不直。
102,any,[?eni],任何,pron.任何一个；  adv.一点儿也（不）,"one or more of a number of people or things, especially when it does not matter which",You can ride any of these bikes.,你可以骑这些自行车里的任何一辆。
103,good,[g?d],好的,adj.令人满意的；  n.美德,of high quality or an acceptable standard,She said I did a good job.,她说我干得不错。
104,woman,[?w?m?n],女士,n.女人,an adult female human,My grandmother is such an elegant woman!,我的奶奶是一个多么优雅的女人啊！
105,through,[θru:],通过,prep.通过；  adj.直通的；  adv.自始至终,from one end or side of something/somebody to the other,I can run through brick walls—what can you do?,我能奔跑着穿过砖墙——你能干什么？
106,us,[?s],我们,我们,,,
107,life,[la?f],生活,n.生命,living things,Life is a long journey from birth to death.,生命是一个从出生到死亡的漫长旅程。
108,child,[t?a?ld],孩子,n. 小孩，儿童,a young human who is not yet an adult,What a cute child!,好可爱的小朋友啊！
109,work,[w?:k],工作,v.起作用，有效果，奏效,to do things as part of your job,The medicine works! I feel well!,这个药有效果！我感觉很好！
110,down,[da?n],向下,adv. 向下，在下面；  n. 绒毛，汗毛,to or at a lower place or position,The mother is walking down the stairs with her daughter.,这位母亲正和女儿一起走下楼梯。
111,may,[me?],可能,n. 五月,"the fifth month of the year, between April and June","We like May, because we can have many days-off.",我们喜欢五月，因为可以有很多假期。
112,after,[?ɑ:ft?(r)],后,prep.在……以后；  adv.后来，以后,later than something; following something in time,There was a rainbow in the sky after the rain.,雨后，天空中出现了一道彩虹。
113,should,[??d],应该,aux.应该,"used to show what is right, appropriate, etc., especially when criticizing somebody’s actions","When you are working, you should sit up straight.",工作时，你应该挺身坐直。
114,call,[k?:l],称呼,n.通话，打电话；  v.把……叫作,the act of speaking to somebody on the telephone,He gave his mother a phone call from work.,他上班的时候给母亲打了个电话。
115,world,[w?:ld],世界,n.世界；生活圈,"the earth, with all its countries, peoples and natural features",His dream is to travel around the world.,他的梦想是环游世界。
116,over,[???v?(r)],超过,adv.越过；翻倒；遍布；结束；  adj.多余的；  prep.在……上方；遍及,beyond the top or upper surface or edge; forward from an upright position,The boy is jumping over the stream.,那个男孩正在跳过小溪。
117,school,[sku:l],学校,n.学院,a place where children go to be educated,They are the students in the School of Biology at the university.,他们是这所大学生物学院的学生。
118,still,[st?l],仍然,adv.还，仍；  n.寂静；  v.使安静，使镇定下来；  adj.静止的,not moving; calm and quiet,"He has been exercising for 3 months, but he's still fat!",他减了三个月的肥，可还是很胖！
119,try,[tra?],尝试,v.试图，努力；  n.努力，尝试,"to use, do or test something in order to see if it is good, suitable, etc.",The woman is trying on a pair of high heels.,这个女人正在试穿一双高跟鞋。
120,last,[lɑ:st],最后的,det.最后的，仅剩下的；最近的，上一个的；  v.持续，坚持；  pron.最后的东西（或人）；  adv.最近，上次,happening or coming after all other similar things or people,We need one last piece to finish the puzzle.,我们只需最后一块图案就能完成拼图。
121,ask,[ɑ:sk],问,v.询问；要求,"to say or write something in the form of a question, in order to get information",The man is asking a stranger for directions.,这个男人正在向陌生人问路。
122,need,[ni:d],需要,vt.需要；  n.缺乏,to be in a condition or situation in which you must have (something) :to require (something),The baby girl badly needs her mother.,这个小女孩非常需要她的妈妈。
123,too,[tu:],也,adv.太，很；也，而且,"used before adjectives and adverbs to say that something is more than is good, necessary, possible, etc.",The box is too small for him to sit in.,这个盒子太小了，它坐不下。
124,feel,[fi:l],感觉,v.（身体）感觉到；触，摸,to have a particular physical quality which you become aware of by touching,He felt tired after working for such a long time.,在长时间的工作后，他感到很累。
125,three,[θri:],三,三,,,
126,state,[ste?t],状态,n.州；状态，情况；  v.说明，陈述,an organized political community forming part of a country,Alaska is the northernmost state of America.,阿拉斯加是美国最北边的州。
127,never,[?nev?(r)],绝不,adv.从不，永不,not ever :not at any time,She never eats junk food.,她从不吃垃圾食品。
128,become,[b??k?m],变得,v.变成,to start to be something,This little green shoot will soon become a beautiful flower.,这棵绿色的小苗很快就能长成漂亮的花朵。
129,between,[b??twi:n],之间,prep. 在……中间,"in or into the space separating two or more points, objects, people, etc.",The dragon is between the two boxes.,小龙在两个箱子中间。
130,high,[ha?],高的,adj.（标准、质量等）高的，好的,at or to a position or level that is a long way up from the ground or from the bottom,That's a high performance computer.,那是一台高性能计算机。
131,really,[?ri:?li],真的,adv.事实上，真正地,used to say what is actually the fact or the truth about something,He's not really good at shooting arrows.,其实他不太擅长射箭。
132,something,[?s?mθ??],某物,pron.某事物；有价值或重要的人或事物；  adv.有点，稍微,a thing that is not known or mentioned by name,"Here, there is something in the box for you.",给，盒子里有给你的一些东西。
133,most,[m??st],最多,pron.大部分,to the greatest degree; very; extremely; completely,Most of the balloons are green.,大多数气球是绿色的。
134,another,[??n?e?(r)],其他,det.另外的，不同的；又一的,different; a different person or thing,You have another way to the train station if you are in a traffic jam.,如果你遇到交通堵塞，你可以从另一条道路前往火车站。
135,much,[m?t?],很多,pron.大量；  adv.非常，很；许多,"used with uncountable nouns, especially in negative sentences to mean ‘a large amount of something’, or after ‘how’ to ask about the amount of something. It is also used with ‘as’, ‘so’ and ‘too’.",He drank too much cola at one time.,他一口气喝了太多可乐。
136,family,[?f?m?li],家庭,n.氏族，家庭；  adj.家庭的，家族的,"a group consisting of one or two parents, their children and close relations",There are five people in my family.,我家里有五口人。
137,own,[??n],自己的,v.有，拥有,one or ones belonging to oneself,This boy once owned a black cat.,这个男孩曾经拥有一只黑色的猫。
138,leave,[li:v],离开,v.留下,to go away from a person or a place,There was some trash left in the stadium after the match.,比赛结束后，体育场内留下了一些垃圾。
139,put,[p?t],放,v.改变（某人的）状况,to cause (someone or something) to be in a particular place or position,Being stuck in a traffic jam had put him in a bad mood.,遇上堵车使他心情不好。
140,old,[??ld],老的,adj.年纪大的，老的；……岁的,having lived for a long time; no longer young,"Though you are old, I will always love you.",虽然你老了，我也永远爱你。
141,while,[wa?l],尽管,conj.在……的时候，和……同时；  n.一会儿，一段时间,at the same time as something else is happening,The boy is playing a game while his roommate is reading a book.,男孩玩游戏的时候，他的室友正在看书。
142,mean,[mi:n],意思是,v.表示，打算；  n.平均值，中庸；  adj.吝啬的,"a quality, condition, or way of doing something that is in the middle of two extremes and better than either of them; (mathematics) the value found by adding together all the numbers in a group, and dividing the total by the number of numbers see",The green light means we can cross the road.,绿灯表示我们可以通行。
143,keep,[ki:p],保持,v.保持,"to continue having or holding (something) :to not return, lose, sell, give away, or throw away (something)",It's so strange that she has kept young all these years.,真奇怪，这么多年来她一直都保持着年轻的状态。
144,student,[?stju:dnt],学生,n. 学生；学者; 大学生,"a person who is studying at a school, especially a secondary school",The students are reading the book.,学生们正在看书。
145,why,[wa?],为什么,为什么,,,
146,let,[let],让,v.让,,Let me clean the classroom.,让我来打扫教室吧。
147,great,[gre?t],伟大的,adj.伟大的,very large; much bigger than average in size or quantity,Vincent van Gogh is one of the greatest painters in the history of Western art.,梵高是西方艺术史上最伟大的画家之一。
148,same,[se?m],相同的,adj.相同的；  pron.同样的人或事物；  adv.同样地,exactly the one or ones referred to or mentioned; not different,The little boys are wearing the same hats and clothes.,小男孩们戴着相同的帽子，穿着相同的衣服。
149,big,[b?g],大的,adj.大的，巨大的,"large in size, degree, amount, etc.","It's a big hamburger, but I can finish it!",这个汉堡包很大，但是我能吃完！
150,group,[gru:p],团体,n.群，组；  v.聚集,a number of people or things that are together or in the same place,A group of people are sitting over here.,一群人在这儿坐着。
151,begin,[b??g?n],开始,v. 开始,to start doing something; to do the first part of something,The bell rings and class begins.,上课铃响就开始上课。
152,seem,[si:m],似乎,v.似乎,"(not used in the progressive tenses) to give the impression of being or doing something; used to make what you say about your thoughts, feelings or actions less strong; used to suggest that something is true when you are not certain or when you want to be polite",It seems that it is going to rain.,好像快要下雨了。
153,country,[?k?ntri],国家,n. 国家,an area of land that is controlled by its own government,Each country has its own national flag.,每个国家都有自己的国旗。
154,help,[help],帮助,n.帮助；  v.援助,the act of helping somebody to do something,I offered her some help during the mountain climbing.,爬山的时候，我向她提供了帮助。
155,talk,[t?:k],讲话,v.讲话；谈论,"to say things; to speak in order to give information or to express feelings, ideas, etc.",They are talking to each other to share ideas.,他们正在聊天以分享想法。
156,where,[we?(r)],在哪里,在哪里,,,
157,turn,[t?:n],转动,v.使变成,a bend or corner in a road,Green leaves turn brown in autumn.,秋天，绿叶变成黄褐色。
158,problem,[?pr?bl?m],问题,n.问题；  adj.成问题的，难对付的,a thing that is difficult to deal with or to understand,"Ladies, is there a problem? You've been yelling for hours!",女士们，有什么问题吗？你们已经争论了几个小时了！
159,every,[?evri],每一个,det.每个，每一；每隔（一定的数目或时间）的，每……之中的,used with singular nouns to refer to all the members of a group of things or people,Every snowman has a carrot nose.,每一个雪人都有一个胡萝卜鼻子。
160,start,[stɑ:t],开始,v.开办，开动,to begin doing or using something,The couple has started their own flower shop.,这对夫妻开了一家花店。
161,hand,[h?nd],手,vt.递，交,"the part of the body at the end of the arm, including the fingers and thumb",She handed the gift to her friend.,她把礼物交给了朋友。
162,might,[ma?t],可能,aux.或许；  n.力量，威力,used as the past tense of may when reporting what somebody has said,"I think it might rain later, so I should take an umbrella.",我想一会儿或许会下雨，所以我应该带把伞。
163,American,[??mer?k?n],美国人,adj.美国的，美国人的；  n.美洲人,"of or connected with N or S America, especially the US",These items are all related to American culture.,这些东西都与美国文化相关。
164,show,[???],展示,v.（提供事实、信息）证明，表明,"a theatre performance, especially one that includes singing and dancing; a programme on television or the radio",His planner shows that he will be quite busy in the coming days.,他的每日计划显示他接下来几天会很忙。
165,part,[pɑ:t],部分,v.分离，分开,a separate piece or area of a human or animal body or of a plant,She parted the curtains and looked out. ,她拉开窗帘向外看。
166,against,[??genst],反对,prep. 反对；对（着），逆,opposing or disagreeing with somebody/something,He's against the teacher's proposal.,他反对老师的提议。
167,place,[ple?s],地方,v.（尤指小心地）放置,"a specific area or region of the world :a particular city, country, etc.",She carefully placed the folder back in the filing cabinet.,她小心地把文件夹放回档案柜里。
168,such,[s?t?],这样的,det.这样的，那样的,of the type already mentioned,Look! Such a beautiful view.,看！这是多美的景色啊！
169,again,[??gen],再次,adv.又，再次,one more time; on another occasion,It looks like it will rain again.,看起来又要下雨了。
170,few,[fju:],很少,adj.很少的，几乎没有的,used with plural nouns and a plural verb to mean ‘not many’,There are very few people on the train. ,地铁上几乎没什么人。
171,case,[ke?s],案件,n.箱，盒；案件；  v.踩点,(often in compounds) a container or covering used to protect or store things; a container with its contents or the amount that it contains,He always takes the black case to work.,他总是带这个黑色公文包去上班。
172,week,[wi:k],星期,n. 星期，周,"a period of seven days, either from Monday to Sunday or from Sunday to Saturday",They are talking about the week's plan.,他们在谈论这周的计划。
173,company,[?k?mp?ni],公司,n.陪伴,a business organization that makes money by producing or selling goods or services,The girl enjoys her father's company.,"这个女孩喜欢父亲的陪伴。
"
174,system,[?s?st?m],系统,n.系统；身体,an organized set of ideas or theories or a particular way of doing something,Android is a very popular operating system for phones.,安卓是一种很流行的手机操作系统。
175,each,[i:t?],每个,det.每人，每个；  pron.每人，每个，每件；  adv.每个,"used to refer to every one of two or more people or things, when you are thinking about them separately",Each person is taking a photo.,每个人都在拍照。
176,right,[ra?t],正确的,n.权利,true or correct as a fact; correct in your opinion or judgement,They have the right to vote.,他们享有选举权。
177,program,[?pr??gr?m],程序,n.程序；  v.编写程序,a set of instructions in code that control the operations or functions of a computer; something that people watch on television or listen to on the radio; a plan of things that will be done or included in the development of something,Leave me alone! I’m trying to write a program on the computer!,别理我！我只想好好地在电脑上写代码！
178,hear,[h??(r)],听到,v.听见；听说,to listen to (someone or something),What did you say? I can't quite hear you.,你说什么？我听不清楚。
179,question,[?kwest??n],问题,v.怀疑,doubt or confusion about something,The woman raised her hand and questioned what the man was saying. ,那个女人举起手，质疑男人所说的内容。
180,during,[?dj??r??],期间,prep.在……过程中，在……期间,"throughout the entire time of (an event, period, occurrence, etc.)",It's rude to talk on the phone during dinner.,在吃晚餐时讲电话很没礼貌。
181,play,[ple?],玩,v.玩,"to do things for pleasure, as children do; to enjoy yourself, rather than work",The children are playing in the park.,孩子们正在公园里玩耍。
182,government,[?g?v?nm?nt],政府,n.政府；治理,"a particular system used for controlling a country, state, etc.",The offices of the local government are in this building.,当地政府的办公室就在这栋楼里。
183,run,[r?n],跑步,vt.管理，运营（公司等）,"to move using your legs, going faster than when you walk","For a while, she ran a restaurant.",她曾有一段时间在经营餐馆。
184,small,[sm?:l],小的,adj.小的；少的,"not large in size, number, degree, amount, etc",This is a small model of my real house.,这是我房子的一个小模型。
185,number,[?n?mb?(r)],数字,n.数字；  v.达，总计,a word or symbol that represents an amount or a quantity,In total there are 10 numbers here.,这里总共有10个数字。
186,off,[?f],离开,adj.离开的,away from work or duty,He had to be off in a hurry.,他不得不匆忙离开。
187,always,[??:lwe?z],总是,adv. 总是；毫无例外地,at all times; on every occasion,This store is always open.,这家商店一直营业。
188,move,[mu:v],移动,v. 移动；  n. 迁居,"to change the place where you live, have your work, etc.",He's using a truck to help him move house.,他正用卡车搬家。
189,night,[na?t],夜晚,n.夜晚；  adj.夜晚的,the darkness that occurs during the nighttime,"When night falls, the moon begins to shine.",夜幕降临，月亮开始照耀大地。
190,live,[l?v],居住,adj.直播的；  v.活着，生存,"to remain alive, especially at a particular time",The students are having a live online PE class at home.,学生们正在家里上体育直播课。
191,Mr,['m?st?(r)],先生,先生,,,
192,point,[p??nt],观点,n.意义，目的,the sharp thin end of something,What was the point of playing piano to a cow?,对牛弹琴的意义何在？
193,believe,[b??li:v],相信,v.相信；认为,to regard the existence of God as a fact; to have religious beliefs,Some people believe WeChat is a good place to make a fortune.,有些人相信微信是个发财致富的好地方。
194,hold,[h??ld],抓住,vt.拿住，握住；  n.（飞机、船的）货舱,to put your arms around (someone) :to embrace or hug (someone),I'm holding a cup of coffee latte in my hands.,我正用手握着一杯拿铁咖啡。
195,today,[t??de?],今天,n. 今天；现今；  adv. 现在；在今天,this day,Today is the day for me to pay my taxes.,今天是我要交税的日子。
196,bring,[br??],带来,vt.引起，促使,to come to a place with someone or something,This photo album brings back memories. ,"这本相册勾起了一些回忆。
"
197,happen,[?h?p?n],发生,vi.发生,"to take place, especially without being planned",How did this horrible accident happen?,这桩可怕的事故是如何发生的？
198,next,[nekst],下一个,adj.（时间）紧接的；（位置）贴近的；  n.下一个人（东西）；  adv.其次，然后,"coming after this one :coming after the one that just came, happened, etc.",Their children are sleeping in the next room.,他们的孩子正在隔壁房间里睡觉。
199,without,[w??ea?t],没有,prep.没有，不,not in the company of somebody,I feel so lonely without you.,没有你我感觉好孤单。
200,before,[b??f?:(r)],前,prep.在……前面（空间）；  conj.在……之前（时间）；  adv.以前,,There's only one person before me in line!,在队伍里我前面就只有一个人。
201,large,[lɑ:d?],大的,adj. 大的；大量的,great in size or amount,She has a very large cup.,她有一个非常大的杯子。
202,million,[?m?lj?n],百万,num.百万,1?000?000; a very large amount,The businessman holds one million dollars in his arms.,这个商人怀里抱着一百万美元。
203,must,[m?st],必须,aux.必须；必然要,used to say that something is necessary or very important (sometimes involving a rule or a law),You must leave the game!,你必须离开比赛！
204,home,[h??m],家,adj.本国的,"the house or flat/apartment that you live in, especially with your family; a house or flat/apartment, etc., when you think of it as property that can be bought and sold; a place where people who cannot care for themselves live and are cared for by others",These tomatoes were destined for the home market.,这些番茄被运往国内市场。
205,under,[??nd?(r)],在下面,prep.在……之下；在……的领导下；  adj.下面的；  adv.在下方,"in, to or through a position that is below something; below the surface of something; covered by something",There's a cute little girl playing under the table.,一个可爱的小女孩正在桌下玩呢。
206,water,[?w?:t?(r)],水,n. 水；  vt. 给……浇水，给……供水,"a liquid without colour, smell or taste that falls as rain, is in lakes, rivers and seas, and is used for drinking, washing, etc.",Would you like a glass of ice water?,你要一杯冰水吗？
207,room,[ru:m],房间,n.空间；房间,"a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose",There was enough room in the van for the suitcase.,车里有足够的地方放行李箱。
208,write,[ra?t],写,v.（以文字）说,"to make letters or numbers on a surface, especially using a pen or a pencil",The price of this shirt is written on the label. ,标签上写明了这件衬衫的价格。
209,mother,[?m?e?(r)],母亲,母亲,,,
210,area,[?e?ri?],区域,n.面积；区域，地区；范围,"a piece of land or part of a building that is used for a particular activity; a particular part of a town, a country, a region, or the world",The area of the office is about 40 square meters.,办公室的面积大约是40平方米。
211,national,[?n??n?l],国家的,adj.国家的，民族的；  n.（某国的）公民,connected with a particular nation; shared by a whole nation,Baseball is the national game of the U.S.,棒球是美国的国民运动。
212,money,[?m?ni],钱,n.金钱，财富,"what you earn by working or selling things, and use to buy things","Money, money, money, always money—it's a rich man's world.",钱钱钱！到处都是钱！——这就是有钱人的世界啊。
213,story,[?st?:ri],故事,n.故事，小说,"an account, often spoken, of what happened to somebody or of how something happened",Mary is reading a bedtime story to her kids.,玛丽正在给她的孩子们讲睡前故事。
214,young,[j??],年轻的,adj.初期的,not yet old; not as old as others,"Our company is quite young, founded one month ago.",我们公司很新，于一个月前成立。
215,fact,[f?kt],事实,n.事实,something that truly exists or happens: something that has actual existence,My photo proved the fact that the ghosts weren't real.,我的照片证明了一个事实：这些鬼都是假的。
216,month,[m?nθ],月,n.月,a period of time that lasts about four weeks or 30 days,There are twelve months in a year.,一年有12个月。
217,different,[?d?fr?nt],不同的,adj.不同的,not the same as somebody/something; not like somebody/something else,The red tomato looks so different from others.,红色的西红柿看起来与其他的如此不同。
218,lot,[l?t],很多,pron. 大量，许多,a large number or amount,I have a lot of pencils.,我有许多铅笔。
219,study,[?st?di],学习,v.研究,"to spend time learning about a subject by reading, going to college, etc.",Her studies are all about genetic engineering.,她的研究都与基因工程相关。
220,book,[b?k],书,v.预订,a set of printed pages that are fastened inside a cover so that you can turn them and read them,The boy booked a table for Valentine's Day.,男生为情人节预定了餐厅。
221,eye,[a?],眼睛,n.眼睛；眼状物；  v.送秋波,either of the two organs on the face that you see with,The little baby has beautiful blue eyes.,这个小宝宝有一双美丽的蓝眼睛。
222,job,[d??b],工作,n.责任,a particular task or piece of work that you have to do,It is my job to put the books back on the shelves.,我的责任是把书放回书架上。
223,word,[w?:d],单词,n.字，词，话；  v.措辞，用词,a single unit of language which means something and can be spoken or written,The word on the paper was written in blue ink.,纸上的词是用蓝墨水写的。
